date_id,date,year,quarter,month,month_name,week,day,day_name,is_weekend,fiscal_year
224,2022-08-12,2022,3,8,August,32,12,Friday,False,2022
225,2022-08-13,2022,3,8,August,32,13,Saturday,True,2022
226,2022-08-14,2022,3,8,August,32,14,Sunday,True,2022
227,2022-08-15,2022,3,8,August,33,15,Monday,False,2022
228,2022-08-16,2022,3,8,August,33,16,Tuesday,False,2022
229,2022-08-17,2022,3,8,August,33,17,Wednesday,False,2022
230,2022-08-18,2022,3,8,August,33,18,Thursday,False,2022
231,2022-08-19,2022,3,8,August,33,19,Friday,False,2022
232,2022-08-20,2022,3,8,August,33,20,Saturday,True,2022
233,2022-08-21,2022,3,8,August,33,21,Sunday,True,2022
234,2022-08-22,2022,3,8,August,34,22,Monday,False,2022
235,2022-08-23,2022,3,8,August,34,23,Tuesday,False,2022
236,2022-08-24,2022,3,8,August,34,24,Wednesday,False,2022
237,2022-08-25,2022,3,8,August,34,25,Thursday,False,2022
238,2022-08-26,2022,3,8,August,34,26,Friday,False,2022
239,2022-08-27,2022,3,8,August,34,27,Saturday,True,2022
240,2022-08-28,2022,3,8,August,34,28,Sunday,True,2022
241,2022-08-29,2022,3,8,August,35,29,Monday,False,2022
242,2022-08-30,2022,3,8,August,35,30,Tuesday,False,2022
243,2022-08-31,2022,3,8,August,35,31,Wednesday,False,2022
244,2022-09-01,2022,3,9,September,35,1,Thursday,False,2022
245,2022-09-02,2022,3,9,September,35,2,Friday,False,2022
246,2022-09-03,2022,3,9,September,35,3,Saturday,True,2022
247,2022-09-04,2022,3,9,September,35,4,Sunday,True,2022
248,2022-09-05,2022,3,9,September,36,5,Monday,False,2022
249,2022-09-06,2022,3,9,September,36,6,Tuesday,False,2022
250,2022-09-07,2022,3,9,September,36,7,Wednesday,False,2022
251,2022-09-08,2022,3,9,September,36,8,Thursday,False,2022
252,2022-09-09,2022,3,9,September,36,9,Friday,False,2022
253,2022-09-10,2022,3,9,September,36,10,Saturday,True,2022
254,2022-09-11,2022,3,9,September,36,11,Sunday,True,2022
255,2022-09-12,2022,3,9,September,37,12,Monday,False,2022
256,2022-09-13,2022,3,9,September,37,13,Tuesday,False,2022
257,2022-09-14,2022,3,9,September,37,14,Wednesday,False,2022
258,2022-09-15,2022,3,9,September,37,15,Thursday,False,2022
259,2022-09-16,2022,3,9,September,37,16,Friday,False,2022
260,2022-09-17,2022,3,9,September,37,17,Saturday,True,2022
261,2022-09-18,2022,3,9,September,37,18,Sunday,True,2022
262,2022-09-19,2022,3,9,September,38,19,Monday,False,2022
263,2022-09-20,2022,3,9,September,38,20,Tuesday,False,2022
264,2022-09-21,2022,3,9,September,38,21,Wednesday,False,2022
265,2022-09-22,2022,3,9,September,38,22,Thursday,False,2022
266,2022-09-23,2022,3,9,September,38,23,Friday,False,2022
267,2022-09-24,2022,3,9,September,38,24,Saturday,True,2022
268,2022-09-25,2022,3,9,September,38,25,Sunday,True,2022
269,2022-09-26,2022,3,9,September,39,26,Monday,False,2022
270,2022-09-27,2022,3,9,September,39,27,Tuesday,False,2022
271,2022-09-28,2022,3,9,September,39,28,Wednesday,False,2022
272,2022-09-29,2022,3,9,September,39,29,Thursday,False,2022
273,2022-09-30,2022,3,9,September,39,30,Friday,False,2022
274,2022-10-01,2022,4,10,October,39,1,Saturday,True,2022
275,2022-10-02,2022,4,10,October,39,2,Sunday,True,2022
276,2022-10-03,2022,4,10,October,40,3,Monday,False,2022
277,2022-10-04,2022,4,10,October,40,4,Tuesday,False,2022
278,2022-10-05,2022,4,10,October,40,5,Wednesday,False,2022
279,2022-10-06,2022,4,10,October,40,6,Thursday,False,2022
280,2022-10-07,2022,4,10,October,40,7,Friday,False,2022
281,2022-10-08,2022,4,10,October,40,8,Saturday,True,2022
282,2022-10-09,2022,4,10,October,40,9,Sunday,True,2022
283,2022-10-10,2022,4,10,October,41,10,Monday,False,2022
284,2022-10-11,2022,4,10,October,41,11,Tuesday,False,2022
285,2022-10-12,2022,4,10,October,41,12,Wednesday,False,2022
286,2022-10-13,2022,4,10,October,41,13,Thursday,False,2022
287,2022-10-14,2022,4,10,October,41,14,Friday,False,2022
288,2022-10-15,2022,4,10,October,41,15,Saturday,True,2022
289,2022-10-16,2022,4,10,October,41,16,Sunday,True,2022
290,2022-10-17,2022,4,10,October,42,17,Monday,False,2022
291,2022-10-18,2022,4,10,October,42,18,Tuesday,False,2022
292,2022-10-19,2022,4,10,October,42,19,Wednesday,False,2022
293,2022-10-20,2022,4,10,October,42,20,Thursday,False,2022
294,2022-10-21,2022,4,10,October,42,21,Friday,False,2022
295,2022-10-22,2022,4,10,October,42,22,Saturday,True,2022
296,2022-10-23,2022,4,10,October,42,23,Sunday,True,2022
297,2022-10-24,2022,4,10,October,43,24,Monday,False,2022
298,2022-10-25,2022,4,10,October,43,25,Tuesday,False,2022
299,2022-10-26,2022,4,10,October,43,26,Wednesday,False,2022
300,2022-10-27,2022,4,10,October,43,27,Thursday,False,2022
301,2022-10-28,2022,4,10,October,43,28,Friday,False,2022
302,2022-10-29,2022,4,10,October,43,29,Saturday,True,2022
303,2022-10-30,2022,4,10,October,43,30,Sunday,True,2022
304,2022-10-31,2022,4,10,October,44,31,Monday,False,2022
305,2022-11-01,2022,4,11,November,44,1,Tuesday,False,2022
306,2022-11-02,2022,4,11,November,44,2,Wednesday,False,2022
307,2022-11-03,2022,4,11,November,44,3,Thursday,False,2022
308,2022-11-04,2022,4,11,November,44,4,Friday,False,2022
309,2022-11-05,2022,4,11,November,44,5,Saturday,True,2022
310,2022-11-06,2022,4,11,November,44,6,Sunday,True,2022
311,2022-11-07,2022,4,11,November,45,7,Monday,False,2022
312,2022-11-08,2022,4,11,November,45,8,Tuesday,False,2022
313,2022-11-09,2022,4,11,November,45,9,Wednesday,False,2022
314,2022-11-10,2022,4,11,November,45,10,Thursday,False,2022
315,2022-11-11,2022,4,11,November,45,11,Friday,False,2022
316,2022-11-12,2022,4,11,November,45,12,Saturday,True,2022
317,2022-11-13,2022,4,11,November,45,13,Sunday,True,2022
318,2022-11-14,2022,4,11,November,46,14,Monday,False,2022
319,2022-11-15,2022,4,11,November,46,15,Tuesday,False,2022
320,2022-11-16,2022,4,11,November,46,16,Wednesday,False,2022
321,2022-11-17,2022,4,11,November,46,17,Thursday,False,2022
322,2022-11-18,2022,4,11,November,46,18,Friday,False,2022
323,2022-11-19,2022,4,11,November,46,19,Saturday,True,2022
324,2022-11-20,2022,4,11,November,46,20,Sunday,True,2022
325,2022-11-21,2022,4,11,November,47,21,Monday,False,2022
326,2022-11-22,2022,4,11,November,47,22,Tuesday,False,2022
327,2022-11-23,2022,4,11,November,47,23,Wednesday,False,2022
328,2022-11-24,2022,4,11,November,47,24,Thursday,False,2022
329,2022-11-25,2022,4,11,November,47,25,Friday,False,2022
330,2022-11-26,2022,4,11,November,47,26,Saturday,True,2022
331,2022-11-27,2022,4,11,November,47,27,Sunday,True,2022
332,2022-11-28,2022,4,11,November,48,28,Monday,False,2022
333,2022-11-29,2022,4,11,November,48,29,Tuesday,False,2022
334,2022-11-30,2022,4,11,November,48,30,Wednesday,False,2022
335,2022-12-01,2022,4,12,December,48,1,Thursday,False,2022
336,2022-12-02,2022,4,12,December,48,2,Friday,False,2022
